ID,read,dir,region,taxon,kingdom,phylum,class,order,family,genus,species,rank,cut-off,confidence,referenceID,blast.score,blast.sim,blast.coverage
SRR9211222,473,F,ITS2,Cenococcum sp,Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,Cenococcum_sp,species,0.904,0.7378,UDB0728486,0.97222,0.97222,71.0
SRR9211222,558,F,ITS2,Piloderma sp,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Pilodermataceae,Piloderma,Piloderma_sp,species,0.947,0.7286,UDB04653362,0.98953,0.98953,190.0
SRR9211222,6018,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0190958,0.97059,0.97059,67.0
SRR9211222,7820,F,ITS2,Entoloma,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,unidentified,genus,0.927,0.6279,MZ611656,0.9305599999999999,0.9305599999999999,71.0
SRR9211222,8003,F,ITS2,Entoloma pruinosum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_pruinosum,species,0.943,0.4748,MZ611656,0.95833,0.95833,71.0
SRR9211222,8310,F,ITS2,Entoloma pruinosum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_pruinosum,species,0.943,0.4748,MZ611656,0.9444400000000001,0.9444400000000001,71.0
SRR9211222,8568,F,ITS2,Cenococcum sp,Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,Cenococcum_sp,species,0.904,0.7378,UDB01658513,0.95294,0.95294,84.0
SRR9211222,9379,F,ITS2,Solicoccozyma terricola,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terricola,species,0.92,0.4957,AF444350,1.0,1.0,83.0
SRR9211222,9463,F,ITS2,Solicoccozyma terricola,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terricola,species,0.92,0.4957,AF444350,0.95238,0.95238,83.0
SRR9211222,k141_13,F,ITS2,Entoloma inusitatum,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_inusitatum,species,0.943,0.4748,LN850543,0.9538500000000001,0.9538500000000001,63.0
SRR9211223,1008,F,ITS2,Helotiales sp,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp,species,0.703,0.9068,KP889563,0.9230800000000001,0.9230800000000001,90.0
SRR9211223,1013,F,ITS2,Solicoccozyma terricola,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terricola,species,0.92,0.4957,AF444350,0.9881,0.9881,83.0
SRR9211223,10165,F,ITS2,Cenococcum sp,Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,Cenococcum_sp,species,0.904,0.7378,UDB0728486,1.0,1.0,70.0
SRR9211223,10578,F,ITS2,Cenococcum sp,Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,Cenococcum_sp,species,0.904,0.7378,UDB0728486,1.0,1.0,70.0
SRR9211223,10607,F,ITS2,Cenococcum sp,Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,Cenococcum_sp,species,0.904,0.7378,UDB0728486,1.0,1.0,70.0
SRR9211223,11178,F,ITS2,Solicoccozyma terricola,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terricola,species,0.92,0.4957,AF444350,1.0,1.0,83.0
SRR9211223,11261,F,ITS2,Agaricales sp,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricales_fam_Incertae_sedis,Agaricales_gen_Incertae_sedis,Agaricales_sp,species,0.7,0.9125,LC523854,1.0,1.0,83.0
SRR9211223,1374,F,ITS2,Agaricomycetes sp,Fungi,Basidiomycota,Agaricomycetes,Agaricomycetes_ord_Incertae_sedis,Agaricomycetes_fam_Incertae_sedis,Agaricomycetes_gen_Incertae_sedis,Agaricomycetes_sp,species,0.701,0.7281,UDB06360299,0.9740300000000001,0.9740300000000001,76.0
SRR9211223,2010,F,ITS2,Pseudotomentella sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Pseudotomentella,Pseudotomentella_sp,species,0.906,0.9692,UDB0613563,1.0,1.0,191.0
SRR9211223,2059,F,ITS2,Cladophialophora sp,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_sp,species,0.7,0.9573,UDB03012281,1.0,1.0,105.0
SRR9211223,2104,F,ITS2,Hydnodontaceae sp,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Hydnodontaceae_gen_Incertae_sedis,Hydnodontaceae_sp,species,0.943,0.7741,UDB03485734,1.0,1.0,81.0
SRR9211223,2110,F,ITS2,Cladophialophora sp,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_sp,species,0.7,0.9573,UDB02800150,0.98113,0.98113,105.0
SRR9211223,2196,F,ITS2,Pseudotomentella sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Pseudotomentella,Pseudotomentella_sp,species,0.906,0.9692,UDB0613563,0.99479,0.99479,191.0
SRR9211223,220,F,ITS2,Cenococcum sp,Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,Cenococcum_sp,species,0.904,0.7378,UDB0728486,1.0,1.0,70.0
SRR9211223,2244,F,ITS2,Cladophialophora sp,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_sp,species,0.7,0.9573,UDB03008554,1.0,1.0,58.0
SRR9211223,2401,F,ITS2,Lachnum sp,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,Lachnum_sp,species,0.959,0.6161,UDB0699927,1.0,1.0,86.0
SRR9211223,2594,F,ITS2,Luellia sp,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Luellia,Luellia_sp,species,0.943,0.7741,UDB03136092,0.9743600000000001,0.9743600000000001,76.0
SRR9211223,2885,F,ITS2,Agaricomycetes sp,Fungi,Basidiomycota,Agaricomycetes,Agaricomycetes_ord_Incertae_sedis,Agaricomycetes_fam_Incertae_sedis,Agaricomycetes_gen_Incertae_sedis,Agaricomycetes_sp,species,0.701,0.7281,UDB06360299,1.0,1.0,76.0
SRR9211223,6698,F,ITS2,Cladophialophora sp,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_sp,species,0.7,0.9573,UDB02914033,1.0,1.0,108.0
SRR9211223,7236,F,ITS2,Solicoccozyma terricola,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terricola,species,0.92,0.4957,AF444350,0.9881,0.9881,83.0
SRR9211223,8006,F,ITS2,Solicoccozyma terricola,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terricola,species,0.92,0.4957,AF444350,0.9881,0.9881,83.0
SRR9211223,9438,F,ITS2,Cenococcum sp,Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,Cenococcum_sp,species,0.904,0.7378,UDB0728486,1.0,1.0,70.0
SRR9211223,9537,F,ITS2,Agaricomycetes sp,Fungi,Basidiomycota,Agaricomycetes,Agaricomycetes_ord_Incertae_sedis,Agaricomycetes_fam_Incertae_sedis,Agaricomycetes_gen_Incertae_sedis,Agaricomycetes_sp,species,0.701,0.7281,UDB06360299,0.9870099999999999,0.9870099999999999,75.0
SRR9211223,9898,F,ITS2,Cenococcum sp,Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,Cenococcum_sp,species,0.904,0.7378,UDB01648604,0.9764700000000001,0.9764700000000001,84.0
SRR9211226,1655,F,ITS2,,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,N/A,N/A,KX516296,0.95238,0.95238,104.0
SRR9211228,10193,F,ITS2,Lactarius tabidus,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius_tabidus,species,0.976,0.5127,MT908311,1.0,1.0,98.0
SRR9211228,10579,F,ITS2,Lactarius tabidus,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius_tabidus,species,0.976,0.5127,MT908311,0.9899,0.9899,98.0
SRR9211228,10946,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,1.0,1.0,58.0
SRR9211228,11032,F,ITS2,Lactarius tabidus,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius_tabidus,species,0.976,0.5127,MT908311,0.9899,0.9899,98.0
SRR9211228,11038,F,ITS2,Lactarius tabidus,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius_tabidus,species,0.976,0.5127,MT908311,1.0,1.0,98.0
SRR9211228,11193,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,1.0,1.0,55.0
SRR9211228,11595,F,ITS2,Helotiales sp,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp,species,0.703,0.9068,KU727710,0.96552,0.96552,57.0
SRR9211228,12245,F,ITS2,Lactarius,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,unidentified,genus,0.912,0.6492,MT908311,0.95789,0.95789,94.0
SRR9211228,13370,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,1.0,1.0,58.0
SRR9211228,1412,F,ITS2,Helotiales sp,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp,species,0.703,0.9068,KU727710,0.98276,0.98276,57.0
SRR9211228,14276,F,ITS2,Filobasidium magnum,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium_magnum,species,0.944,0.5213,AF190008,1.0,1.0,82.0
SRR9211228,1692,F,ITS2,Solicoccozyma terricola,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terricola,species,0.92,0.4957,AF444350,1.0,1.0,83.0
SRR9211228,17,F,ITS2,Lactarius tabidus,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius_tabidus,species,0.976,0.5127,MT908311,1.0,1.0,98.0
SRR9211228,2032,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,0.99438,0.99438,177.0
SRR9211228,2423,F,ITS2,Hydnodontaceae sp,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Hydnodontaceae_gen_Incertae_sedis,Hydnodontaceae_sp,species,0.943,0.7741,UDB03485734,0.9878,0.9878,81.0
SRR9211228,2644,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,1.0,1.0,177.0
SRR9211228,2727,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,0.99438,0.99438,177.0
SRR9211228,3298,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,1.0,1.0,58.0
SRR9211228,3317,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,1.0,1.0,58.0
SRR9211228,332,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,1.0,1.0,177.0
SRR9211228,4477,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,1.0,1.0,58.0
SRR9211228,4490,F,ITS2,Lactarius tabidus,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius_tabidus,species,0.976,0.5127,MT908311,0.9899,0.9899,98.0
SRR9211228,4947,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,1.0,1.0,58.0
SRR9211228,5738,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,1.0,1.0,58.0
SRR9211228,6095,F,ITS2,Lactarius tabidus,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius_tabidus,species,0.976,0.5127,MT908311,1.0,1.0,98.0
SRR9211228,6856,F,ITS2,Lactarius,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,unidentified,genus,0.912,0.6492,MT908311,0.9697,0.9697,98.0
SRR9211228,7089,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,1.0,1.0,58.0
SRR9211228,7373,F,ITS2,Cladosporium cladosporioides,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium_cladosporioides,species,0.7,0.5467,MW723884,1.0,1.0,91.0
SRR9211228,8061,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,1.0,1.0,58.0
SRR9211228,8065,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,1.0,1.0,56.0
SRR9211228,8219,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,1.0,1.0,55.0
SRR9211228,8855,F,ITS2,Helotiales sp,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp,species,0.703,0.9068,KU727710,0.98276,0.98276,57.0
SRR9211228,893,F,ITS2,Umbelopsis sp,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,Umbelopsis_sp,species,0.7,0.795,UDB07144133,0.9905700000000001,0.9905700000000001,104.0
SRR9211228,8935,F,ITS2,Helotiales sp,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp,species,0.703,0.9068,KU727710,0.96552,0.96552,57.0
SRR9211228,8946,F,ITS2,Helotiales sp,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Helotiales_gen_Incertae_sedis,Helotiales_sp,species,0.703,0.9068,KU727710,0.98276,0.98276,57.0
SRR9211228,9903,F,ITS2,Lactarius tabidus,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius_tabidus,species,0.976,0.5127,MT908311,0.9899,0.9899,98.0
SRR9211228,k109_2,F,ITS2,Lactarius tabidus,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius_tabidus,species,0.976,0.5127,MT908311,1.0,1.0,98.0
SRR9211229,1177,F,ITS2,,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,,N/A,N/A,AF492089,0.9726,0.9726,72.0
SRR9211229,2077,F,ITS2,Filobasidium magnum,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium_magnum,species,0.944,0.5213,AF190008,0.98795,0.98795,82.0
SRR9211229,2391,F,ITS2,Filobasidium mucilaginum,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium_mucilaginum,species,0.944,0.5213,MK050349,1.0,1.0,76.0
SRR9211229,971,F,ITS2,Taphrina truncicola,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina_truncicola,species,0.984,0.6597,LC619230,1.0,1.0,211.0
SRR9211229,992,F,ITS2,Ceramothyrium carniolicum,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriaceae,Ceramothyrium,Ceramothyrium_carniolicum,species,0.961,0.7336,KC455237,0.98276,0.98276,115.0
SRR9211230,10,F,ITS2,Lactarius tabidus,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius_tabidus,species,0.976,0.5127,MT908311,1.0,1.0,98.0
SRR9211230,10543,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,1.0,1.0,58.0
SRR9211230,10564,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,1.0,1.0,58.0
SRR9211230,10565,F,ITS2,Lactarius tabidus,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius_tabidus,species,0.976,0.5127,MT908311,1.0,1.0,96.0
SRR9211230,11005,F,ITS2,Thelephoraceae sp,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_gen_Incertae_sedis,Thelephoraceae_sp,species,0.906,0.9692,UDB0487240,1.0,1.0,58.0
SRR9211230,1352,F,ITS2,Hyaloscyphaceae sp,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscyphaceae_gen_Incertae_sedis,Hyaloscyphaceae_sp,species,0.959,0.5226,UDB03473708,1.0,1.0,104.0
